strike,tenor,value,valuationDate,isinCode,definition,volType
0.08,4Y,2.222,2021-06-08,USD,CapFloorVolatility,normal
0.08,5Y,2.151,2021-06-08,USD,CapFloorVolatility,normal
0.08,6Y,2.017,2021-06-08,USD,CapFloorVolatility,normal
0.08,7Y,1.87,2021-06-08,USD,CapFloorVolatility,normal
0.08,8Y,1.752,2021-06-08,USD,CapFloorVolatility,normal
0.08,9Y,1.653,2021-06-08,USD,CapFloorVolatility,normal
0.08,10Y,1.566,2021-06-08,USD,CapFloorVolatility,normal
0.08,12Y,1.46,2021-06-08,USD,CapFloorVolatility,normal
0.08,15Y,1.33,2021-06-08,USD,CapFloorVolatility,normal
0.08,20Y,1.215,2021-06-08,USD,CapFloorVolatility,normal
0.085,1Y,2.969,2021-06-08,USD,CapFloorVolatility,normal
0.085,2Y,2.533,2021-06-08,USD,CapFloorVolatility,normal
0.085,3Y,2.404,2021-06-08,USD,CapFloorVolatility,normal
0.085,4Y,2.325,2021-06-08,USD,CapFloorVolatility,normal
0.085,5Y,2.249,2021-06-08,USD,CapFloorVolatility,normal
0.085,6Y,2.108,2021-06-08,USD,CapFloorVolatility,normal
0.085,7Y,1.952,2021-06-08,USD,CapFloorVolatility,normal
0.085,8Y,1.828,2021-06-08,USD,CapFloorVolatility,normal
0.085,9Y,1.724,2021-06-08,USD,CapFloorVolatility,normal
0.085,10Y,1.632,2021-06-08,USD,CapFloorVolatility,normal
0.085,12Y,1.519,2021-06-08,USD,CapFloorVolatility,normal
0.085,15Y,1.383,2021-06-08,USD,CapFloorVolatility,normal
0.085,20Y,1.263,2021-06-08,USD,CapFloorVolatility,normal
0.09,1Y,3.125,2021-06-08,USD,CapFloorVolatility,normal
0.09,2Y,2.658,2021-06-08,USD,CapFloorVolatility,normal
0.09,3Y,2.515,2021-06-08,USD,CapFloorVolatility,normal
0.09,4Y,2.427,2021-06-08,USD,CapFloorVolatility,normal
0.09,5Y,2.347,2021-06-08,USD,CapFloorVolatility,normal
0.09,6Y,2.199,2021-06-08,USD,CapFloorVolatility,normal
0.09,7Y,2.034,2021-06-08,USD,CapFloorVolatility,normal
0.09,8Y,1.903,2021-06-08,USD,CapFloorVolatility,normal
0.09,9Y,1.793,2021-06-08,USD,CapFloorVolatility,normal
0.09,10Y,1.697,2021-06-08,USD,CapFloorVolatility,normal
0.09,12Y,1.579,2021-06-08,USD,CapFloorVolatility,normal
0.09,15Y,1.436,2021-06-08,USD,CapFloorVolatility,normal
0.09,20Y,1.311,2021-06-08,USD,CapFloorVolatility,normal
0.095,1Y,3.28,2021-06-08,USD,CapFloorVolatility,normal
0.095,2Y,2.782,2021-06-08,USD,CapFloorVolatility,normal
0.095,3Y,2.624,2021-06-08,USD,CapFloorVolatility,normal
0.095,4Y,2.527,2021-06-08,USD,CapFloorVolatility,normal
0.095,5Y,2.443,2021-06-08,USD,CapFloorVolatility,normal
0.095,6Y,2.288,2021-06-08,USD,CapFloorVolatility,normal
0.095,7Y,2.115,2021-06-08,USD,CapFloorVolatility,normal
0.095,8Y,1.977,2021-06-08,USD,CapFloorVolatility,normal
0.095,9Y,1.863,2021-06-08,USD,CapFloorVolatility,normal
0.095,10Y,1.762,2021-06-08,USD,CapFloorVolatility,normal
0.095,12Y,1.638,2021-06-08,USD,CapFloorVolatility,normal
0.095,15Y,1.489,2021-06-08,USD,CapFloorVolatility,normal
0.095,20Y,1.358,2021-06-08,USD,CapFloorVolatility,normal
ATM,1Y,0.159,2021-06-08,USD,CapFloorVolatility,normal
ATM,2Y,0.27,2021-06-08,USD,CapFloorVolatility,normal
ATM,3Y,0.408,2021-06-08,USD,CapFloorVolatility,normal
ATM,4Y,0.541,2021-06-08,USD,CapFloorVolatility,normal
ATM,5Y,0.632,2021-06-08,USD,CapFloorVolatility,normal
ATM,6Y,0.687,2021-06-08,USD,CapFloorVolatility,normal
ATM,7Y,0.721,2021-06-08,USD,CapFloorVolatility,normal
ATM,8Y,0.739,2021-06-08,USD,CapFloorVolatility,normal
ATM,9Y,0.748,2021-06-08,USD,CapFloorVolatility,normal
ATM,10Y,0.752,2021-06-08,USD,CapFloorVolatility,normal
ATM,12Y,0.753,2021-06-08,USD,CapFloorVolatility,normal
ATM,15Y,0.742,2021-06-08,USD,CapFloorVolatility,normal
ATM,20Y,0.717,2021-06-08,USD,CapFloorVolatility,normal
